Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
1,500,71,0,178,10.46,0.000%,1.93796,0.32,0.29,170.0
2,500,76,0,167,9.29,0.000%,1.93825,0.90,1.50,478.0
3,500,76,0,187,11.25,0.000%,1.93834,0.70,1.50,372.0
4,500,71,0,173,10.78,0.000%,1.93835,0.44,0.30,231.0
5,500,71,0,166,9.22,0.000%,1.93844,0.88,0.32,465.0
6,500,72,0,168,10.45,0.000%,1.93853,1.00,0.32,526.0
7,500,73,0,1090,46.38,0.000%,1.93866,0.45,0.32,238.0
TOTAL,3500,73,0,1090,20.06,0.000%,13.54190,4.69,4.53,354.3
